"region","species_name","species_qualified","cuid","cu_name_pse","year","estimated_count","observed_count","source_id"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2010,144,144,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2011,374,374,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2012,307,307,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2013,374,374,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2014,955,1193,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2015,418,477,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2016,134,134,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2017,180,206,"Bison_20170804"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2018,77,91,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2019,120,195,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2020,38,38,"Bison_20210820"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2021,19,19,"Bison_20210806"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2022,19,19,"Bison_20220715"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2023,134,134,"Bison_20230828"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2024,96,96,"Bison_20240729"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2025,154,154,"Bison_20250908"
"Fraser","Steelhead","SH",780,"Mid Fraser Summer",2026,34,34,"Bison_20260729"
"Fraser","Steelhead","SH",781,"Thompson Summer",1978,1666,1666,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1979,1666,1666,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1980,952,952,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1981,1247,1247,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1982,1190,1190,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1983,2857,2857,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1984,1120,1120,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1985,3510,3510,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1986,2330,2330,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1987,1680,1680,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1988,1500,1500,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1989,1670,1670,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1990,1200,1200,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1991,1200,1200,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1992,900,900,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1993,2960,2960,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1994,2660,2660,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1995,2590,2590,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1996,1020,1020,"Bison_20210820"
